title,summary,groups,interests
Requirements for Designated Contract Markets and Swap Execution Facilities Regarding Governance and the Mitigation of Conflicts of Interest Impacting Market Regulation Functions,The Commodity Futures Trading Commission (CFTC) has published a notice of proposed rulemaking (NPRM) to adopt new governance and conflict of interest standards for Designated Contract Markets (DCMs) and Swap Execution Facilities (SEFs). The proposed rule aims to enhance market regulation functions by implementing existing guidance and acceptable practices. The CFTC is extending the comment period for this NPRM by an additional 21 days to allow interested parties more time to analyze the proposal and provide feedback.,"['Designated Contract Markets (DCMs)', 'Swap Execution Facilities (SEFs)', 'Market participants (traders, investors, etc.)', 'Financial regulators (e.g., SEC, FINRA)']","['May be concerned about the increased regulatory requirements and potential compliance costs associated with the proposed governance and conflict of interest standards.', 'Similar to DCMs, SEFs may be wary of the additional compliance burden and costs resulting from the new rules.', 'Likely to support the proposed rules as they aim to enhance market regulation and mitigate conflicts of interest, which could improve market integrity and transparency.', 'May provide input on the proposed rules to ensure consistency with other financial regulations and promote effective oversight of derivatives markets.']"
"Agency Information Collection Activities: Notice of Intent To Extend Information Collection 3038-0115, Reparations Complaint, CFTC Form 30","The Commodity Futures Trading Commission (CFTC) is seeking public comment on the proposed extension of an existing information collection related to the CFTC Reparations Complaint Process. This process allows members of the public to file complaints against CFTC registrants for alleged violations of the Commodity Exchange Act and CFTC regulations. The CFTC Form 30 is a critical component of this process, as it provides a standardized format for filing complaints. The document outlines the purpose, burden estimates, and request for feedback on ways to improve the information collection.The extension of this information collection is important as it ensures the continued functioning of the CFTC's Reparations Complaint Process, which provides a low-cost and effective forum for resolving customer complaints against CFTC-registered entities. The feedback gathered through this notice will help the CFTC enhance the quality and usefulness of the information collected, while minimizing the burden on respondents.","['Commodity futures customers', 'CFTC-registered entities', 'Consumer advocacy groups']","['May be interested in providing feedback to improve the complaint filing process and ensure their concerns are effectively addressed.', 'May be concerned about the potential impact of the Reparations Complaint Process on their operations and may seek to influence the process to minimize their liability.', 'Likely to support the Reparations Complaint Process as a means of protecting the rights of commodity futures customers and holding CFTC-registered entities accountable.']"
Portable Fuel Container Safety Act Regulation,"The Consumer Product Safety Commission (CPSC) is issuing a direct final rule to incorporate the revised ASTM F3429/F3429M-24 standard for flame mitigation devices in prefilled portable fuel containers. This revision to the previously accepted ASTM F3429/F3429M-23 standard meets the requirements of the Portable Fuel Container Safety Act of 2020 (PFCSA). The new standard will become the mandatory consumer product safety rule for prefilled portable fuel containers effective July 27, 2024, unless the CPSC receives significant adverse comments by May 30, 2024.The key points are:- The CPSC previously accepted ASTM F3429/F3429M-23 as the mandatory standard under the PFCSA.- ASTM has now revised the standard to ASTM F3429/F3429M-24, and the CPSC has evaluated the revisions and found them to meet the PFCSA requirements.- The revised ASTM F3429/F3429M-24 standard will become the new mandatory consumer product safety rule effective July 27, 2024, unless the CPSC receives significant adverse comments.","['Portable fuel container manufacturers', 'Fire safety advocates', 'Environmental groups']","['May be concerned about the costs and feasibility of complying with the revised ASTM standard, potentially leading them to submit adverse comments.', 'Likely to support the revised standard as it enhances safety measures to prevent fuel container fires, aligning with their goal of reducing fire-related incidents and injuries.', 'May be interested in how the revised standard impacts the environmental impact of portable fuel containers, such as through reduced fuel spills or emissions.']"
Federal Award Performance Monitoring and Reporting Form,"The Department of Agriculture is requesting comments on a new information collection request for the FPAC Federal Award Performance Monitoring and Reporting Form. This form will be used to support the implementation of performance measurement requirements under the Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards. The form will allow FPAC agencies to collect performance data from award recipients, including information on accomplishments, expenditures, and problems. The goal is to improve program outcomes and identify promising practices. The document outlines the estimated burden on respondents and the USDA's request for feedback on various aspects of the information collection.","['Award recipients (e.g., local governments, nonprofits, businesses)', 'FPAC agencies (Farm Service Agency, Commodity Credit Corporation, Natural Resources Conservation Service, Risk Management Agency)', 'Taxpayer advocacy groups']","['May be concerned about the additional reporting burden, but also have an interest in ensuring the form is clear and efficient to complete.', 'Aim to improve program performance and outcomes through the new reporting requirements, but need to balance the burden on recipients.', 'May scrutinize the new reporting requirements to ensure they are necessary and cost-effective for the government.']"
White River National Forest; Colorado; Sweetwater Lake Recreation Management and Development Project,"The Department of Agriculture's Forest Service is preparing an environmental impact statement to evaluate the potential environmental impacts associated with the Sweetwater Lake Recreation Management and Development Project in Colorado. The project aims to improve recreation access and facilities, and authorize a long-term special use permit to the Colorado Parks and Wildlife to manage the area. Key elements of the proposed action include:- Authorizing a 20-year special use permit to Colorado Parks and Wildlife to implement and maintain improvements and manage the area- Redesigning the site to promote recreational opportunities at a scale compatible with the capacity of the project area and its resources- Evaluating existing structures for retention, restoration, or removal- Developing a new campground, cabins, equestrian facilities, and additional lake access points- Converting the existing campground and parking to day-use picnic sites- Constructing a new lodge with administrative, educational, and interpretive spaces- Evaluating the establishment of new hiking and equestrian trailsThis project is important as it aims to enhance and provide sustainable management of the public lands around Sweetwater Lake, while balancing recreational needs and protecting the natural and cultural resources of the area.","['Colorado Parks and Wildlife', 'Environmental advocacy groups', 'Local residents and businesses', 'Outdoor recreation enthusiasts']","['Likely to support the proposal as they would be granted a long-term special use permit to manage the area and implement the proposed improvements.', 'May have concerns about the potential environmental impacts of the proposed development and recreational activities, and may advocate for stricter mitigation measures.', 'May be supportive of the project as it could bring increased tourism and economic opportunities to the area, but may also have concerns about the scale of development and potential impacts on the local community.', 'Likely to support the proposal as it would enhance recreational opportunities and access to the Sweetwater Lake area.']"
Notice of Request for Revision of a Currently Approved Information Collection,"The Department of Agriculture's Rural Housing Service (RHS) is requesting a revision of a currently approved information collection related to the planning and performing of construction and other development activities. The information collection enables RHS to effectively administer the policies, methods, and responsibilities needed to demonstrate compliance with applicable acts for these rural development projects. The agency is inviting public comments on the necessity, accuracy, and burden of the information collection before submitting a request for revision to the Office of Management and Budget (OMB).","['Rural housing developers and contractors', 'Rural community organizations', 'Taxpayer advocacy groups']","['May be interested in providing feedback on the information collection requirements and their impact on project planning and execution.', 'Likely to be interested in ensuring the information collection supports the effective delivery of rural housing and infrastructure projects.', 'May scrutinize the information collection process to ensure it is not overly burdensome or costly for taxpayers.']"
Notice of Revision of a Currently Approved Information Collection,"The Department of Agriculture's Rural Utilities Service (RUS) is seeking to revise a currently approved information collection package for the Rural Broadband Loans, Loan/Grant Combinations, and Loan Guarantees program. The revision aims to update the data collection and reporting requirements for this program, which provides loans, loan/grant combinations, and loan guarantees to fund the construction, improvement, or acquisition of broadband infrastructure in eligible rural areas. The agency is inviting public comments on the proposed changes to ensure the information collection is necessary, accurate, and efficient.","['Rural broadband providers', 'Rural communities', 'Advocacy groups for rural development and digital inclusion']","['May be interested in providing feedback on the revised information collection requirements, as they will be the primary respondents and could be impacted by changes to the application and reporting process.', 'Likely to be supportive of the program, as it aims to improve broadband access in their areas, but may want to ensure the application and reporting requirements do not create undue burdens for local organizations applying for funding.', ""May advocate for streamlining the information collection process to make it easier for rural organizations to access the broadband funding, while also ensuring adequate data is collected to monitor the program's effectiveness.""]"
"Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Direct Investment Surveys: BE-10, Benchmark Survey of U.S. Direct Investment Abroad","The Department of Commerce is proposing changes to the Benchmark Survey of U.S. Direct Investment Abroad (BE-10), a mandatory survey that collects data on the financial structure and operations of U.S. parents and their foreign affiliates. The proposed changes include adding new data items, such as employment of U.S. citizens working overseas and equity investment in other foreign affiliates, as well as modifying existing data items to better capture information related to the digital economy. This survey is important as it provides baseline data for measuring U.S. direct investment abroad and assessing its impact on the U.S. and foreign economies.","['U.S. multinational enterprises', 'U.S. government agencies', 'Economic researchers and analysts']","['May be concerned about the increased reporting burden and potential disclosure of sensitive business information.', 'Likely to support the survey as it provides critical data for measuring and analyzing U.S. direct investment abroad and its economic impacts.', 'Likely to favor the survey as it provides valuable data for understanding trends and patterns in U.S. direct investment abroad.']"
Federal Acquisition Regulation: Prohibition on Certain Semiconductor Products and Services,"The Department of Defense (DoD), General Services Administration (GSA), and National Aeronautics and Space Administration (NASA) are considering amending the Federal Acquisition Regulation (FAR) to implement a prohibition on executive agencies procuring or obtaining certain products and services that include covered semiconductor products or services, effective December 23, 2027. This is in response to section 5949 of the James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, which identified semiconductors as a critical technology sector vulnerable to disruption by adversaries. The proposed rule aims to address national security risks associated with semiconductor supply chains by restricting the procurement of electronic products and services that contain covered semiconductor components.","['U.S. semiconductor manufacturers', 'U.S. technology and electronics companies', 'Foreign semiconductor suppliers', 'U.S. national security agencies']","['May support the proposed rule as it could create new market opportunities for domestic semiconductor production and reduce reliance on foreign suppliers.', 'May oppose the proposed rule due to concerns about increased costs and supply chain disruptions, as they may need to redesign products to comply with the new restrictions.', 'Likely to oppose the proposed rule as it could significantly impact their ability to sell products to the U.S. government, potentially leading to lost revenue and market share.', 'Likely to support the proposed rule as it aligns with their efforts to mitigate risks to critical infrastructure and military systems posed by foreign-made semiconductor components.']"
Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; High School Equivalency Program (HEP) Annual Performance Report,"The Department of Education is proposing a revision to the currently approved information collection request (ICR) for the High School Equivalency Program (HEP) Annual Performance Report. The revisions aim to ensure compliance with regulations, improve the clarity of instructions and data collection, and remove duplicative language. Key changes include the addition of a data element related to mode of instruction. The Department is seeking public comments on the necessity, timeliness, and burden of this information collection, as well as ways to enhance its quality and utility.","['State, local, and tribal governments', 'Migrant and seasonal farm workers', 'Education advocacy groups']","['May be affected by the revised reporting requirements and could provide feedback on the burden and feasibility of the changes.', 'Likely to be interested in the continued support and effectiveness of the HEP program, which is designed to serve their communities.', 'May advocate for further improvements to the data collection and reporting process to better inform policy decisions and program outcomes.']"
Agency Information Collection Activities; Comment Request; Office of Special Education and Rehabilitative Services Peer Reviewer Data Form,"The Department of Education is proposing a revision to the currently approved information collection request (ICR) for the Office of Special Education and Rehabilitative Services (OSERS) Peer Reviewer Data Form. This form is used to identify potential reviewers qualified to review grant applications for OSERS funding. The revision includes minor changes to the gender response options. The Department is seeking public comments on the proposed ICR, particularly regarding its necessity, data processing, burden estimation, and ways to enhance quality and minimize burden.","['Potential peer reviewers', 'Grant applicants', 'Disability advocacy groups']","['May be interested in the changes to the data form, as it affects their ability to participate in the grant review process.', 'May be concerned about the potential impact of the peer reviewer selection process on the fairness and outcomes of the grant funding decisions.', 'May want to ensure that the data form and reviewer selection process are inclusive and accommodate the needs of individuals with disabilities.']"
"Request for Information Regarding Iron, Steel, Construction Materials, and Manufactured Products Used in Housing Programs Pursuant to the Build America, Buy America Act; Extension of Comment Period","The Department of Housing and Urban Development (HUD) has published a request for information (RFI) regarding the implementation of the Build America, Buy America Act (BABA) in its housing programs. The RFI aims to gather information on the domestic market for products required in housing infrastructure projects that are compliant with the Build America Preference (BAP), including details on domestic materials sourcing, market readiness, and whether specific housing products or their components are manufactured in the United States. HUD has extended the public comment period for the RFI by 45 days, from the original 60-day period, to allow interested parties more time to provide responses.","['Domestic manufacturers of construction materials and products used in housing programs', 'Housing developers and construction companies', 'Environmental and labor advocacy groups']","['Likely to be supportive of the RFI and the implementation of the BABA, as it could increase demand for their products and support domestic manufacturing.', 'May be concerned about the potential impact of the BABA requirements on project costs and timelines, and could push for more flexible implementation or exemptions.', 'Likely to support the BABA implementation as a means to promote domestic manufacturing and job creation, as well as environmental sustainability through the use of American-made products.']"
"Agency Information Collection Activities; Proposed eCollection eComments Requested; Extension, With Change, of a Currently Approved Collection; Survey of Sexual Victimization","The Department of Justice (DOJ) is seeking to extend, with changes, the currently approved Survey of Sexual Victimization (SSV) information collection for three years. The SSV collects data on sexual victimization in correctional facilities, including federal and state prisons, juvenile justice systems, private prisons, and local jails. The data is collected annually from various correctional facilities and is required under the Prison Rape Elimination Act of 2003. The DOJ is seeking public comments on the proposed information collection, including its necessity, accuracy, and ways to minimize the burden on respondents.","['Correctional facilities (federal, state, private, local, and juvenile)', 'Prisoner advocacy groups', 'Policymakers and legislators']","['May be concerned about the burden of responding to the survey, but also have an interest in accurately reporting and addressing sexual victimization in their facilities.', 'Likely to support the continued collection of this data as a means to monitor and address sexual victimization in correctional settings.', 'May use the data collected through the SSV to inform policies and legislation aimed at preventing and responding to sexual victimization in correctional facilities.']"
30-Day Notice of Proposed Information Collection: Supplemental Questions for Visa Applicants,"The Department of State has submitted a request to the Office of Management and Budget (OMB) to extend the approval for the 'Supplemental Questions for Visa Applicants' information collection. This collection, using the DS-5535 form, allows consular officers to gather additional biographical information from a subset of nonimmigrant and immigrant visa applicants worldwide to determine their eligibility for a visa. The Department is seeking public comments on the necessity, accuracy, and burden of this information collection before submitting it to OMB for approval.","['Visa applicants', 'Civil liberties and privacy advocacy groups', 'Immigration lawyers and legal organizations']","['May be concerned about the additional information required and the potential impact on their visa application process.', 'Likely to scrutinize the collection of additional personal information and its potential impact on individual privacy.', 'May provide feedback on the legal implications and fairness of the supplemental questions, especially regarding visa eligibility determinations.']"
60-Day Notice of Proposed Information Collection: Request for Approval of Special Validation for Travel to a Restricted Country or Area,"The Department of State is seeking public comments on a proposed information collection related to the request for approval of special validation for travel to a restricted country or area. The key points are:- The Department can invalidate U.S. passports for travel to a country or area if it determines the country is at war with the U.S., armed hostilities are in progress, or there is imminent danger to public health/safety.- Individuals can apply for special validation to travel to a restricted country or area if their trip falls under certain categories, such as being a professional journalist, Red Cross representative, or travel justified by compelling humanitarian considerations or national interest.- The proposed information collection would gather data from applicants to determine their eligibility for the special validation, including details on the purpose and nature of their travel.- The Department is seeking public comments to evaluate the necessity, accuracy, and burden of the proposed information collection.","['U.S. citizens seeking to travel to restricted countries or areas', 'Professional journalists and media organizations', 'Humanitarian aid organizations', 'U.S. government agencies involved in national security']","['May be interested in or affected by the special validation process, as it determines their ability to legally travel to these destinations.', 'May be supportive of the provision allowing special validation for journalists to collect and report on information from restricted countries or areas.', 'May advocate for the continued ability to obtain special validation for travel to restricted areas to carry out their work, especially if it involves multiple-entry requirements.', 'May have concerns about the potential risks of allowing travel to restricted countries or areas, and may seek to influence the criteria for special validation.']"
"60-Day Notice of Proposed Information Collection: DS-156E, Nonimmigrant Treaty Trader/Investor Application","The Department of State is seeking public comments on the proposed extension of the information collection for the DS-156E, Nonimmigrant Treaty Trader/Investor Application. This form is used to determine a foreign national's eligibility for a nonimmigrant visa under the provisions of the Immigration and Nationality Act, which allows certain nationals of countries with qualifying treaties to enter the U.S. as treaty traders or investors. The Department is seeking feedback on the necessity, accuracy, and burden of the proposed information collection.","['Nonimmigrant treaty traders and investors', 'U.S. businesses and organizations that employ or partner with treaty traders and investors', 'Immigration advocacy groups']","['May be interested in providing feedback on the application process and any potential changes that could impact their ability to obtain visas.', 'May have an interest in ensuring the visa application process remains efficient and accessible for their foreign national employees or business partners.', 'May provide comments on the impact of the visa program and the information collection requirements on foreign nationals seeking to enter the U.S.']"
Agency Information Collection Activities; Submission for OMB Review; Comment Request; Internal Revenue Service (IRS) Information Collection Requests,"The Department of the Treasury is seeking public comments on two new IRS information collection requests related to the disclosure and access of non-tax IRS records protected under the Privacy Act. The forms, 15293 and 15603, will be used by individuals to consent to the disclosure of their records and to request access to their non-tax records, respectively. This is a new collection that is estimated to involve 600 respondents and 150 total annual burden hours.","['Individuals with non-tax IRS records', 'Privacy advocates', 'IRS']","['May be interested in understanding their rights and options for controlling the disclosure and access to their personal information held by the IRS.', 'Likely to monitor the implementation of these new forms to ensure they adequately protect individual privacy rights.', 'Interested in streamlining the process for managing requests related to non-tax records and ensuring compliance with the Privacy Act.']"
Incorporation by Reference; North American Standard Out-of-Service Criteria; Hazardous Materials Safety Permits,"The Department of Transportation's Federal Motor Carrier Safety Administration (FMCSA) has proposed amendments to its Hazardous Materials Safety Permits (HMSPs) regulations. The key points are:- FMCSA proposes to incorporate by reference the updated Commercial Vehicle Safety Alliance (CVSA) handbook containing inspection procedures and Out-of-Service Criteria (OOSC) for inspections of transuranic waste and highway route-controlled quantities of radioactive material shipments.- The updated OOSC will provide enforcement personnel nationwide with uniform enforcement tolerances for these inspections.- The current regulations reference the April 1, 2023 edition of the CVSA handbook, and FMCSA proposes to update this to the April 1, 2024 edition.This proposal aims to ensure consistent and effective enforcement of safety standards for the transportation of hazardous radioactive materials across the country.","['Hazardous materials transportation companies', 'Environmental and safety advocacy groups', 'State and local enforcement agencies']","['May be concerned about the potential impact of updated inspection criteria and enforcement on their operations and compliance costs.', 'Likely to support the proposal as it could enhance the safety of transporting hazardous radioactive materials and reduce the risk of accidents or incidents.', 'May favor the proposal as it would provide them with clearer, more consistent guidelines for inspections and enforcement, improving their ability to ensure compliance.']"
